NA,"TP","TN","FP","FN","Precision","Recall","F-Score"
"Trainning metrics","664","2363","50","235","0.929971988795518","0.738598442714127","0.823310601363918"
"Fold","43","411","23","54","0.651515151515151","0.443298969072165","0.52760736196319"
"Fold","67","209","10","74","0.87012987012987","0.475177304964539","0.614678899082569"
"Fold","231","192","72","33","0.762376237623762","0.875","0.814814814814815"
"Fold","41","309","48","81","0.460674157303371","0.336065573770492","0.388625592417062"
"Fold","13","87","2","50","0.866666666666667","0.206349206349206","0.333333333333333"
"Fold","5","113","0","24","1","0.172413793103448","0.294117647058824"
"Fold","66","263","2","32","0.970588235294118","0.673469387755102","0.795180722891566"
"Fold","8","135","0","11","1","0.421052631578947","0.592592592592593"
"Fold","2","153","3","10","0.4","0.166666666666667","0.235294117647059"
"Fold","12","400","16","51","0.428571428571429","0.19047619047619","0.263736263736264"
"CV Avg","48.8","227.2","17.6","42","0.741052174710437","0.395996972373676","0.485998134553728"
"Test","627","2351","62","272","0.910014513788099","0.697441601779755","0.789672544080605"
